A,AIQ,BCAP,BZCAP,BZMAX,BZMIN,CAPCOST,CFCAP,DCAP,DI,ETA,GPX,GROEI,HCAP,I,KGV,LAB,LAMBDA,MPK,MPL,MZK,NCAP,OCAP,PX,PY,PYC,PYC1,RF,RHO,RHOX,RHOXMAX,RHOXMIN,RISK,TC,THETA,TP,WAGE,WAGE1,X,XK,YD,YDEX,YDEX1,YS,ZCAP
0.56,0.7956924085,0.1012801603,0.078214966,3.1179144281,0.1012801603,0.0910498933,0.1625740473,0.0545579472,0.060128016,0,0,0.01,0.0232709235,0.0855768916,100.6586461787,89.6606122193,0.5980275185,0.1669662344,0.7235731872,0.1485475776,0,0.0232709235,1,1.3820303464,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.8667602023,0.108919465,81.5340294852,112.6825030132,113.8093280433,81.5340294852,0.2129573202
0.56,0.7955479555,0.1012801603,0.0780929175,3.1179144281,0.1012801603,0.0910498933,0.1628203216,0.0548042214,0.060128016,0,0,0.01,0.0233940606,0.0855768916,101.5564674505,90.540778243,0.5980275185,0.167202554,0.7233103423,0.1489581268,0,0.0233940606,1,1.3825324228,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,10.9636858896,0.108919465,82.3194640251,113.8093280433,114.9474213238,82.3194640251,0.2133677773
0.56,0.7954033762,0.1012801603,0.0779706437,3.1179144281,0.1012801603,0.0910498933,0.1630670503,0.0550509502,0.060128016,0,0,0.01,0.023517425,0.0855768916,102.4622968077,91.4295670051,0.5980275185,0.1674391139,0.7230474638,0.1493693414,0,0.023517425,1,1.3830350703,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.0614761022,0.108919465,83.112441463,114.9474213238,116.096895537,83.112441463,0.2137789919
0.56,0.7952587383,0.1012801603,0.0778481672,3.1179144281,0.1012801603,0.0910498933,0.1633141883,0.0552980882,0.060128016,0,0,0.01,0.023640994,0.0855768916,103.3762056781,92.327070666,0.5980275185,0.1676759369,0.7227845267,0.149781238,0,0.023640994,1,1.3835381958,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.1601385512,0.108919465,83.9130396921,116.096895537,117.2578644924,83.9130396921,0.2141908885
0.56,0.7951140419,0.1012801603,0.0777254875,3.1179144281,0.1012801603,0.0910498933,0.1635617361,0.055545636,0.060128016,0,0,0.01,0.0237647679,0.0855768916,104.2982661267,93.2333745798,0.5980275185,0.1679130233,0.722521531,0.1501938177,0,0.0237647679,1,1.3840417996,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.2596810164,0.108919465,84.7213317752,117.2578644924,118.4304431373,84.7213317752,0.2146034682
0.56,0.794969287,0.1012801603,0.0776026045,3.1179144281,0.1012801603,0.0910498933,0.1638096944,0.0557935942,0.060128016,0,0,0.01,0.023888747,0.0855768916,105.2285508612,94.1485649356,0.5980275185,0.1681503731,0.7222584769,0.1506070814,0,0.023888747,1,1.3845458822,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.3601113472,0.108919465,85.5373914734,118.4304431373,119.6147475687,85.5373914734,0.2150167319
0.56,0.7948244736,0.1012801603,0.0774795177,3.1179144281,0.1012801603,0.0910498933,0.1640580637,0.0560419635,0.060128016,0,0,0.01,0.0240129317,0.0855768916,106.1671332379,95.0727287658,0.5980275185,0.1683879865,0.7219953644,0.1510210303,0,0.0240129317,1,1.385050444,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.4614374628,0.108919465,86.3612932534,119.6147475687,120.8108950444,86.3612932534,0.2154306808
0.56,0.7946796017,0.1012801603,0.0773562268,3.1179144281,0.1012801603,0.0910498933,0.1643068447,0.0562907445,0.060128016,0,0,0.01,0.0241373222,0.0855768916,107.1140872672,96.0059539539,0.5980275185,0.1686258637,0.7217321937,0.1514356652,0,0.0241373222,1,1.3855554856,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.5636673531,0.108919465,87.193112294,120.8108950444,122.0190039948,87.193112294,0.2158453158
0.56,0.7945346714,0.1012801603,0.0772327317,3.1179144281,0.1012801603,0.0910498933,0.164556038,0.0565399378,0.060128016,0,0,0.01,0.0242619188,0.0855768916,108.0694876199,96.9483292429,0.5980275185,0.1688640048,0.7214689649,0.1518509874,0,0.0242619188,1,1.3860610073,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.6668090794,0.108919465,88.0329244928,122.0190039948,123.2391940347,88.0329244928,0.216260638
0.56,0.7943896827,0.1012801603,0.0771090319,3.1179144281,0.1012801603,0.0910498933,0.1648056442,0.0567895441,0.060128016,0,0,0.01,0.024386722,0.0855768916,109.0334096325,97.899944244,0.5980275185,0.16910241,0.7212056781,0.1522669977,0,0.024386722,1,1.3865670095,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.7708707746,0.108919465,88.8808064731,123.2391940347,124.4715859751,88.8808064731,0.2166766484
0.56,0.7942446356,0.1012801603,0.0769851272,3.1179144281,0.1012801603,0.0910498933,0.1650556641,0.0570395639,0.060128016,0,0,0.01,0.0245117319,0.0855768916,110.0059293138,98.8608894447,0.5980275185,0.1693410794,0.7209423333,0.1526836973,0,0.0245117319,1,1.3870734928,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.8758606446,0.108919465,89.7368355908,124.4715859751,125.7163018348,89.7368355908,0.2170933481
0.56,0.7940995301,0.1012801603,0.0768610172,3.1179144281,0.1012801603,0.0910498933,0.1653060981,0.0572899979,0.060128016,0,0,0.01,0.0246369489,0.0855768916,110.9871233504,99.8312562173,0.5980275185,0.1695800132,0.7206789308,0.1531010871,0,0.0246369489,1,1.3875804575,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,11.9817869679,0.108919465,90.6010899415,125.7163018348,126.9734648532,90.6010899415,0.2175107381
0.56,0.7939543663,0.1012801603,0.0767367016,3.1179144281,0.1012801603,0.0910498933,0.1655569469,0.0575408467,0.060128016,0,0,0.01,0.0247623733,0.0855768916,111.9770691128,100.8111368279,0.5980275185,0.1698192116,0.7204154706,0.1535191683,0,0.0247623733,1,1.3880879042,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,12.0886580975,0.108919465,91.473648367,126.9734648532,128.2431995017,91.473648367,0.2179288195
0.56,0.7938091442,0.1012801603,0.0766121801,3.1179144281,0.1012801603,0.0910498933,0.1658082112,0.057792111,0.060128016,0,0,0.01,0.0248880054,0.0855768916,112.9758446618,101.8006244447,0.5980275185,0.1700586747,0.7201519529,0.1539379418,0,0.0248880054,1,1.3885958333,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,12.1964824603,0.108919465,92.3545904633,128.2431995017,129.5256314967,92.3545904633,0.2183475933
0.56,0.7936638637,0.1012801603,0.0764874524,3.1179144281,0.1012801603,0.0910498933,0.1660598915,0.0580437914,0.060128016,0,0,0.01,0.0250138456,0.0855768916,113.9835287544,102.7998131468,0.5980275185,0.1702984026,0.7198883777,0.1543574088,0,0.0250138456,1,1.3891042452,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,12.3052685588,0.108919465,93.2439965869,129.5256314967,130.8208878117,93.2439965869,0.2187670605
0.56,0.793518525,0.1012801603,0.0763625182,3.1179144281,0.1012801603,0.0910498933,0.1663119886,0.0582958885,0.060128016,0,0,0.01,0.0251398942,0.0855768916,115.00020085,103.8087979332,0.5980275185,0.1705383955,0.7196247451,0.1547775701,0,0.0251398942,1,1.3896131404,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,12.415024971,0.108919465,94.1419478623,130.8208878117,132.1290966898,94.1419478623,0.2191872224
0.56,0.7933731279,0.1012801603,0.0762373772,3.1179144281,0.1012801603,0.0910498933,0.1665645031,0.0585484029,0.060128016,0,0,0.01,0.0252661514,0.0855768916,116.0259411167,104.8276747315,0.5980275185,0.1707786536,0.7193610554,0.1551984269,0,0.0252661514,1,1.3901225194,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,12.5257603517,0.108919465,95.0485261894,132.1290966898,133.4503876567,95.0485261894,0.2196080798
0.56,0.7932276726,0.1012801603,0.076112029,3.1179144281,0.1012801603,0.0910498933,0.1668174356,0.0588013354,0.060128016,0,0,0.01,0.0253926176,0.0855768916,117.0608304379,105.8565404071,0.5980275185,0.1710191769,0.7190973085,0.1556199803,0,0.0253926176,1,1.3906323826,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,12.6374834328,0.108919465,95.9638142507,133.4503876567,134.7848915333,95.9638142507,0.2200296339
0.56,0.793082159,0.1012801603,0.0759864733,3.1179144281,0.1012801603,0.0910498933,0.1670707867,0.0590546865,0.060128016,0,0,0.01,0.0255192932,0.0855768916,118.1049504181,106.8954927722,0.5980275185,0.1712599658,0.7188335047,0.1560422312,0,0.0255192932,1,1.3911427306,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,12.750203024,0.108919465,96.8878955187,134.7848915333,136.1327404486,96.8878955187,0.2204518858
0.56,0.792936587,0.1012801603,0.0758607098,3.1179144281,0.1012801603,0.0910498933,0.1673245571,0.059308457,0.060128016,0,0,0.01,0.0256461784,0.0855768916,119.15838339,107.9446305947,0.5980275185,0.1715010202,0.718569644,0.1564651807,0,0.0256461784,1,1.3916535638,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,12.8639280137,0.108919465,97.8208542634,136.1327404486,137.4940678531,97.8208542634,0.2208748365
0.56,0.7927909568,0.1012801603,0.0757347382,3.1179144281,0.1012801603,0.0910498933,0.1675787476,0.0595626474,0.060128016,0,0,0.01,0.0257732736,0.0855768916,120.2212124203,109.0040536077,0.5980275185,0.1717423403,0.7183057266,0.1568888298,0,0.0257732736,1,1.3921648827,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,12.9786673694,0.108919465,98.7627755597,137.4940678531,138.8690085316,98.7627755597,0.2212984872
0.56,0.7926452682,0.1012801603,0.0756085582,3.1179144281,0.1012801603,0.0910498933,0.1678333586,0.0598172585,0.060128016,0,0,0.01,0.0259005792,0.0855768916,121.2935213171,110.0738625187,0.5980275185,0.1719839263,0.7180417526,0.1573131796,0,0.0259005792,1,1.3926766879,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,13.0944301388,0.108919465,99.7137452953,138.8690085316,140.257698617,99.7137452953,0.221722839
0.56,0.7924995213,0.1012801603,0.0754821693,3.1179144281,0.1012801603,0.0910498933,0.168088391,0.0600722908,0.060128016,0,0,0.01,0.0260280953,0.0855768916,122.3753946355,111.1541590189,0.5980275185,0.1722257783,0.7177777221,0.1577382312,0,0.0260280953,1,1.3931889798,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,13.2112254501,0.108919465,100.6738501777,140.257698617,141.6602756031,100.6738501777,0.2221478929
0.56,0.7923537161,0.1012801603,0.0753555713,3.1179144281,0.1012801603,0.0910498933,0.1683438453,0.0603277452,0.060128016,0,0,0.01,0.0261558225,0.0855768916,123.4669176851,112.2450457928,0.5980275185,0.1724678965,0.7175136353,0.1581639855,0,0.0261558225,1,1.3937017589,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,13.3290625131,0.108919465,101.6431777425,141.6602756031,143.0768783592,101.6431777425,0.2225736502
0.56,0.7922078524,0.1012801603,0.0752287639,3.1179144281,0.1012801603,0.0910498933,0.1685997223,0.0605836222,0.060128016,0,0,0.01,0.026283761,0.0855768916,124.5681765363,113.3466265274,0.5980275185,0.1727102809,0.7172494922,0.1585904436,0,0.026283761,1,1.3942150259,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,13.4479506197,0.108919465,102.6218163611,143.0768783592,144.5076471428,102.6218163611,0.2230001118
0.56,0.7920619302,0.1012801603,0.0751017466,3.1179144281,0.1012801603,0.0910498933,0.1688560227,0.0608399225,0.060128016,0,0,0.01,0.0264119112,0.0855768916,125.6792580273,114.4590059219,0.5980275185,0.1729529318,0.7169852931,0.1590176065,0,0.0264119112,1,1.3947287813,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,13.5678991446,0.108919465,103.609855248,144.5076471428,145.9527236142,103.609855248,0.2234272791
0.56,0.7919159495,0.1012801603,0.0749745192,3.1179144281,0.1012801603,0.0910498933,0.1691127471,0.061096647,0.060128016,0,0,0.01,0.0265402734,0.0855768916,126.8002497708,115.5822896976,0.5980275185,0.1731958491,0.7167210381,0.1594454754,0,0.0265402734,1,1.3952430257,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,13.6889175462,0.108919465,104.6073844692,145.9527236142,147.4122508503,104.6073844692,0.2238551531
0.56,0.7917699101,0.1012801603,0.0748470813,3.1179144281,0.1012801603,0.0910498933,0.1693698963,0.0613537961,0.060128016,0,0,0.01,0.026668848,0.0855768916,127.9312401609,116.7165846072,0.5980275185,0.1734390331,0.7164567273,0.1598740511,0,0.026668848,1,1.3957577596,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,13.8110153672,0.108919465,105.61449495,147.4122508503,148.8863733588,105.61449495,0.2242837351
0.56,0.7916238121,0.1012801603,0.0747194325,3.1179144281,0.1012801603,0.0910498933,0.169627471,0.0616113708,0.060128016,0,0,0.01,0.0267976353,0.0855768916,129.0723183802,117.8619984449,0.5980275185,0.1736824839,0.7161923609,0.1603033347,0,0.0267976353,1,1.3962729837,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,13.9342022354,0.108919465,106.6312784828,148.8863733588,150.3752370924,106.6312784828,0.2247130263
0.56,0.7914776552,0.1012801603,0.0745915725,3.1179144281,0.1012801603,0.0910498933,0.1698854719,0.0618693718,0.060128016,0,0,0.01,0.0269266358,0.0855768916,130.2235744068,119.0186400561,0.5980275185,0.1739262015,0.715927939,0.1607333274,0,0.0269266358,1,1.3967886986,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,14.0584878646,0.108919465,107.6578277354,150.3752370924,151.8789894633,107.6578277354,0.2251430278
0.56,0.7913314394,0.1012801603,0.0744635008,3.1179144281,0.1012801603,0.0910498933,0.1701438998,0.0621277997,0.060128016,0,0,0.01,0.0270558498,0.0855768916,131.3850990212,120.1866193471,0.5980275185,0.174170186,0.7156634619,0.16116403,0,0.0270558498,1,1.3973049049,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,14.1838820551,0.108919465,108.6942362586,151.8789894633,153.397779358,108.6942362586,0.225573741
0.56,0.7911851645,0.1012801603,0.0743352172,3.1179144281,0.1012801603,0.0910498933,0.1704027555,0.0623866553,0.060128016,0,0,0.01,0.0271852776,0.0855768916,132.5569838137,121.3660472956,0.5980275185,0.1744144376,0.7153989297,0.1615954437,0,0.0271852776,1,1.3978216035,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,14.3103946947,0.108919465,109.7405984951,153.397779358,154.9317571515,109.7405984951,0.2260051671
0.56,0.7910388303,0.1012801603,0.0742067213,3.1179144281,0.1012801603,0.0910498933,0.1706620397,0.0626459395,0.060128016,0,0,0.01,0.0273149197,0.0855768916,133.7393211917,122.5570359601,0.5980275185,0.1746589564,0.7151343425,0.1620275694,0,0.0273149197,1,1.398338795,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,14.4380357593,0.108919465,110.7970097871,154.9317571515,156.4810747231,110.7970097871,0.2264373074
0.56,0.7908924367,0.1012801603,0.0740780125,3.1179144281,0.1012801603,0.0910498933,0.1709217532,0.062905653,0.060128016,0,0,0.01,0.0274447764,0.0855768916,134.9322043865,123.7596984905,0.5980275185,0.1749037423,0.7148697007,0.1624604081,0,0.0274447764,1,1.3988564801,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,14.566815314,0.108919465,111.8635663845,156.4810747231,158.0458854703,111.8635663845,0.2268701633
0.56,0.7907459835,0.1012801603,0.0739490906,3.1179144281,0.1012801603,0.0910498933,0.1711818969,0.0631657967,0.060128016,0,0,0.01,0.0275748483,0.0855768916,136.1357274612,124.9741491379,0.5980275185,0.1751487955,0.7146050043,0.1628939609,0,0.0275748483,1,1.3993746597,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,14.6967435134,0.108919465,112.9403654537,158.0458854703,159.626344325,112.9403654537,0.2273037361
0.56,0.7905994703,0.1012801603,0.0738199551,3.1179144281,0.1012801603,0.0910498933,0.1714424715,0.0634263713,0.060128016,0,0,0.01,0.0277051356,0.0855768916,137.3499853178,126.2005032649,0.5980275185,0.1753941161,0.7143402536,0.1633282288,0,0.0277051356,1,1.3998933346,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,14.8278306028,0.108919465,114.0275050855,159.626344325,161.2226077682,114.0275050855,0.2277380271
0.56,0.7904528969,0.1012801603,0.0736906056,3.1179144281,0.1012801603,0.0910498933,0.171703478,0.0636873779,0.060128016,0,0,0.01,0.0278356388,0.0855768916,138.5750737049,127.4388773559,0.5980275185,0.175639704,0.7140754488,0.1637632127,0,0.0278356388,1,1.4004125056,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,14.9600869189,0.108919465,115.1250843036,161.2226077682,162.8348338459,115.1250843036,0.228173038
0.56,0.790306263,0.1012801603,0.0735610416,3.1179144281,0.1012801603,0.0910498933,0.1719649173,0.0639488171,0.060128016,0,0,0.01,0.0279663585,0.0855768916,139.811089225,128.6893890272,0.5980275185,0.1758855593,0.7138105902,0.1641989137,0,0.0279663585,1,1.4009321738,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,15.0935228906,0.108919465,116.233203073,162.8348338459,164.4631821844,116.233203073,0.2286087701
0.56,0.7901595683,0.1012801603,0.0734312627,3.1179144281,0.1012801603,0.0910498933,0.1722267902,0.06421069,0.060128016,0,0,0.01,0.0280972949,0.0855768916,141.0581293423,129.9521570375,0.5980275185,0.176131682,0.713545678,0.1646353327,0,0.0280972949,1,1.40145234,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,15.2281490398,0.108919465,117.3519623085,164.4631821844,166.1078140062,117.3519623085,0.2290452249
0.56,0.790013011,0.1012801603,0.073301338,3.1179144281,0.1012801603,0.0910498933,0.1724889573,0.0644728572,0.060128016,0,0,0.01,0.0282283785,0.0855768916,142.3162923903,131.2273342947,0.5980275185,0.1763781422,0.7132806372,0.1650725198,0,0.0282283785,1,1.4019727269,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,15.3639759822,0.108919465,118.4814874189,166.1078140062,167.7688921463,118.4814874189,0.2294821702
0.56,0.7898662263,0.1012801603,0.0731711394,3.1179144281,0.1012801603,0.0910498933,0.172751677,0.0647355769,0.060128016,0,0,0.01,0.0283597384,0.0855768916,143.5856775795,132.5149817267,0.5980275185,0.1766248114,0.7130156062,0.1655103859,0,0.0283597384,1,1.4024938463,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,15.5010144283,0.108919465,119.6218383324,167.7688921463,169.4465810678,119.6218383324,0.2299200364
0.56,0.7897193841,0.1012801603,0.0730407262,3.1179144281,0.1012801603,0.0910498933,0.17301483,0.0649987298,0.060128016,0,0,0.01,0.0284913148,0.0855768916,144.8663850055,133.8152496353,0.5980275185,0.1768717497,0.7127505207,0.1659489742,0,0.0284913148,1,1.4030154605,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,15.639275184,0.108919465,120.7731388812,169.4465810678,171.1410468784,120.7731388812,0.2303586246
0.56,0.7895724844,0.1012801603,0.0729100979,3.1179144281,0.1012801603,0.0910498933,0.1732784169,0.0652623167,0.060128016,0,0,0.01,0.0286231083,0.0855768916,146.1585156566,135.1282615729,0.5980275185,0.1771189572,0.7124853808,0.1663882856,0,0.0286231083,1,1.40353757,1,1,0.08,0.065,0.0916666667,1.85,0.0916666667,0.025,0.4,0.5,0.5,1,1,15.7787691516,0.108919465,121.9354939496,171.1410468784,172.8524573472,121.9354939496,0.2307979361
